exchange,market_id,event_id,event_title,team,opponent,yes_price,volume,game_date,close_time,url
kalshi,KXNCAAFGAME-26SEP10FAMUMIA-MIA,KXNCAAFGAME-26SEP10FAMUMIA,Florida A&M vs Miami (FL),miami fl,florida am,1.0,55717.99,2026-09-10,2026-09-13T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep10famumia
kalshi,KXNCAAFGAME-26SEP10FAMUMIA-FAMU,KXNCAAFGAME-26SEP10FAMUMIA,Florida A&M vs Miami (FL),florida am,miami fl,0.01,3184270.26,2026-09-10,2026-09-13T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep10famumia
kalshi,KXNCAAFGAME-26SEP11NORFUVA-UVA,KXNCAAFGAME-26SEP11NORFUVA,Norfolk St. vs Virginia,virginia,norfolk state,1.0,20242.45,2026-09-11,2026-09-13T23:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11norfuva
kalshi,KXNCAAFGAME-26SEP11NORFUVA-NORF,KXNCAAFGAME-26SEP11NORFUVA,Norfolk St. vs Virginia,norfolk state,virginia,0.01,735518.04,2026-09-11,2026-09-13T23:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11norfuva
kalshi,KXNCAAFGAME-26SEP11RICHNCST-NCST,KXNCAAFGAME-26SEP11RICHNCST,Richmond vs North Carolina St.,north carolina state,richmond,0.98,78788.25,2026-09-11,2026-09-13T23:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11richncst
kalshi,KXNCAAFGAME-26SEP11RICHNCST-RICH,KXNCAAFGAME-26SEP11RICHNCST,Richmond vs North Carolina St.,richmond,north carolina state,0.03,272172.0,2026-09-11,2026-09-13T23:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11richncst
kalshi,KXNCAAFGAME-26SEP11VILLLOU-LOU,KXNCAAFGAME-26SEP11VILLLOU,Villanova vs Louisville,louisville,villanova,0.99,64564.73,2026-09-11,2026-09-13T23:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11villlou
kalshi,KXNCAAFGAME-26SEP11VILLLOU-VILL,KXNCAAFGAME-26SEP11VILLLOU,Villanova vs Louisville,villanova,louisville,0.02,412341.24,2026-09-11,2026-09-13T23:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11villlou
kalshi,KXNCAAFGAME-26SEP11RUTGBC-BC,KXNCAAFGAME-26SEP11RUTGBC,Rutgers vs Boston College,boston college,rutgers,0.61,22441.06,2026-09-11,2026-09-13T23:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11rutgbc
kalshi,KXNCAAFGAME-26SEP11RUTGBC-RUTG,KXNCAAFGAME-26SEP11RUTGBC,Rutgers vs Boston College,rutgers,boston college,0.41,23338.58,2026-09-11,2026-09-13T23:30:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11rutgbc
kalshi,KXNCAAFGAME-26SEP11MIZZKU-KU,KXNCAAFGAME-26SEP11MIZZKU,Missouri vs Kansas,kansas,missouri,0.33,20825.08,2026-09-11,2026-09-14T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11mizzku
kalshi,KXNCAAFGAME-26SEP11MIZZKU-MIZZ,KXNCAAFGAME-26SEP11MIZZKU,Missouri vs Kansas,missouri,kansas,0.67,36229.0,2026-09-11,2026-09-14T00:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep11mizzku
kalshi,KXNCAAFGAME-26SEP12ALBYLIU-LIU,KXNCAAFGAME-26SEP12ALBYLIU,University at Albany vs LIU,liu,albany,0.37,758.62,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12albyliu
kalshi,KXNCAAFGAME-26SEP12ALBYLIU-ALBY,KXNCAAFGAME-26SEP12ALBYLIU,University at Albany vs LIU,albany,liu,0.66,1960.06,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12albyliu
kalshi,KXNCAAFGAME-26SEP12APPECU-ECU,KXNCAAFGAME-26SEP12APPECU,Appalachian St. vs East Carolina,east carolina,appalachian state,0.71,2275.33,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12appecu
kalshi,KXNCAAFGAME-26SEP12APPECU-APP,KXNCAAFGAME-26SEP12APPECU,Appalachian St. vs East Carolina,appalachian state,east carolina,0.3,16854.06,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12appecu
kalshi,KXNCAAFGAME-26SEP12ASUTXAM-TXAM,KXNCAAFGAME-26SEP12ASUTXAM,Arizona St. vs Texas A&M,texas am,arizona state,0.86,18893.73,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12asutxam
kalshi,KXNCAAFGAME-26SEP12ASUTXAM-ASU,KXNCAAFGAME-26SEP12ASUTXAM,Arizona St. vs Texas A&M,arizona state,texas am,0.16,46521.07,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12asutxam
kalshi,KXNCAAFGAME-26SEP12ELONURI-URI,KXNCAAFGAME-26SEP12ELONURI,Elon vs Rhode Island,rhode island,elon,0.73,12586.99,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12elonuri
kalshi,KXNCAAFGAME-26SEP12ELONURI-ELON,KXNCAAFGAME-26SEP12ELONURI,Elon vs Rhode Island,elon,rhode island,0.28,4225.88,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12elonuri
kalshi,KXNCAAFGAME-26SEP12ETSUUNC-UNC,KXNCAAFGAME-26SEP12ETSUUNC,East Tennessee St. vs North Carolina,north carolina,east tennessee state,0.99,25989.93,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12etsuunc
kalshi,KXNCAAFGAME-26SEP12ETSUUNC-ETSU,KXNCAAFGAME-26SEP12ETSUUNC,East Tennessee St. vs North Carolina,east tennessee state,north carolina,0.02,98106.37,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12etsuunc
kalshi,KXNCAAFGAME-26SEP12HOWIND-IND,KXNCAAFGAME-26SEP12HOWIND,Howard vs Indiana,indiana,howard,1.0,16049.68,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12howind
kalshi,KXNCAAFGAME-26SEP12HOWIND-HOW,KXNCAAFGAME-26SEP12HOWIND,Howard vs Indiana,howard,indiana,0.01,239673.01,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12howind
kalshi,KXNCAAFGAME-26SEP12ODUVT-VT,KXNCAAFGAME-26SEP12ODUVT,Old Dominion vs Virginia Tech,virginia tech,old dominion,0.91,6603.72,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12oduvt
kalshi,KXNCAAFGAME-26SEP12ODUVT-ODU,KXNCAAFGAME-26SEP12ODUVT,Old Dominion vs Virginia Tech,old dominion,virginia tech,0.11,5334.36,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12oduvt
kalshi,KXNCAAFGAME-26SEP12OKLAMICH-MICH,KXNCAAFGAME-26SEP12OKLAMICH,Oklahoma vs Michigan,michigan,oklahoma,0.34,142621.91,2026-09-12,2026-09-14T16:00:00+00:00,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12oklamich
