team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
abilene christian,stephen f austin,Stephen F. Austin vs Abilene Christian,Stephen F. Austin vs. Abilene Christian,0.43,0.365,0.72,0.635,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12sfaac,https://polymarket.com/event/cfb-sfaus-abchr-2026-09-12
air force,north dakota state,North Dakota St. vs Air Force,North Dakota State vs. Air Force,0.47,0.455,0.54,0.545,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12ndsuafa,https://polymarket.com/event/cfb-ndkst-airf-2026-09-12
akron,robert morris,Robert Morris vs Akron,Robert Morris vs. Akron,0.97,0.964,0.04,0.036,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12rmuakr,https://polymarket.com/event/cfb-robms-akron-2026-09-12
alabama,kentucky,Alabama vs Kentucky,Alabama vs. Kentucky,0.79,0.785,0.23,0.215,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12alauk,https://polymarket.com/event/cfb-ala-uk-2026-09-12
alabama a and m,tennessee state,Tennessee St. vs Alabama A&M,Tennessee State vs. Alabama A&M,0.53,0.515,0.51,0.485,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12tnstaamu,https://polymarket.com/event/cfb-tenst-alaam-2026-09-12
alabama state,troy,Alabama St. vs Troy,Alabama State vs. Troy,0.08,0.075,0.93,0.925,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12alsttroy,https://polymarket.com/event/cfb-alast-troy-2026-09-12
albany,liu,University at Albany vs LIU,University at Albany vs. LIU,0.66,0.64,0.37,0.36,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12albyliu,https://polymarket.com/event/cfb-albny-liub-2026-09-12
alcorn state,arkansas pine bluff,Arkansas-Pine Bluff vs Alcorn St.,Arkansas-Pine Bluff vs. Alcorn State,0.74,0.77,0.27,0.23,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12arpbalcn,https://polymarket.com/event/cfb-arpb-alcst-2026-09-12
alcorn state,north alabama,Alcorn St. vs North Alabama,Alcorn State vs. North Alabama,0.67,0.54,0.6,0.46,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19alcnuna,https://polymarket.com/event/cfb-alcst-nal-2026-09-19
appalachian state,charlotte,Charlotte vs Appalachian St.,Charlotte vs. Appalachian State,0.93,0.815,0.29,0.185,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19charapp,https://polymarket.com/event/cfb-charlt-applst-2026-09-19
appalachian state,east carolina,Appalachian St. vs East Carolina,Appalachian State vs. East Carolina,0.3,0.305,0.71,0.695,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12appecu,https://polymarket.com/event/cfb-applst-ecar-2026-09-12
arizona state,texas am,Arizona St. vs Texas A&M,Arizona State vs. Texas A&M,0.16,0.145,0.86,0.855,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12asutxam,https://polymarket.com/event/cfb-arzst-txam-2026-09-12
arkansas,utah,Arkansas vs Utah,Arkansas vs. Utah,0.2,0.195,0.82,0.805,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12arkutah,https://polymarket.com/event/cfb-ark-utah-2026-09-12
arkansas state,tcu,Arkansas St. vs TCU,Arkansas State vs. TCU,0.18,0.125,0.92,0.875,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep19arsttcu,https://polymarket.com/event/cfb-arkst-tcu-2026-09-19
arkansas state,west georgia,West Georgia vs Arkansas St.,West Georgia vs. Arkansas State,0.97,0.9745,0.04,0.0255,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12uwgaarst,https://polymarket.com/event/cfb-uwg-arkst-2026-09-12
army,usf,South Florida vs Army,South Florida vs. Army,0.62,0.615,0.4,0.385,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12usfarmy,https://polymarket.com/event/cfb-sfl-army-2026-09-12
auburn,southern miss,Southern Miss vs Auburn,Southern Miss vs. Auburn,0.98,0.977,0.03,0.023,https://kalshi.com/markets/kxncaafgame/kxncaafgame-26sep12usmaub,https://polymarket.com/event/cfb-soumis-aubrn-2026-09-12
