team_a,team_b,kalshi_event,polymarket_event,kalshi_yes_a,poly_yes_a,kalshi_yes_b,poly_yes_b,kalshi_url,polymarket_url
49ers,dolphins,MIA Dolphins vs SF 49ers,Dolphins vs. 49ers,0.87,0.86,0.14,0.14,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20miasf,https://polymarket.com/event/nfl-mia-sf-2026-09-20
49ers,rams,San Francisco vs Los Angeles R,49ers vs. Rams,0.36,0.355,0.65,0.645,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep10sflar,https://polymarket.com/event/nfl-sf-la-2026-09-11
bears,panthers,Chicago vs Carolina,Bears vs. Panthers,0.6,0.605,0.4,0.395,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13chicar,https://polymarket.com/event/nfl-chi-car-2026-09-13
bears,vikings,MIN Vikings vs CHI Bears,Vikings vs. Bears,0.61,0.605,0.41,0.395,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20minchi,https://polymarket.com/event/nfl-min-chi-2026-09-20
bengals,buccaneers,Tampa Bay vs Cincinnati,Buccaneers vs. Bengals,0.64,0.645,0.36,0.355,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13tbcin,https://polymarket.com/event/nfl-tb-cin-2026-09-13
bengals,texans,CIN Bengals vs HOU Texans,Bengals vs. Texans,0.44,0.44,0.57,0.56,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20cinhou,https://polymarket.com/event/nfl-cin-hou-2026-09-20
bills,lions,DET Lions vs BUF Bills,Lions vs. Bills,0.62,0.61,0.4,0.39,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep17detbuf,https://polymarket.com/event/nfl-det-buf-2026-09-18
bills,texans,Buffalo vs Houston,Bills vs. Texans,0.52,0.515,0.49,0.485,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13bufhou,https://polymarket.com/event/nfl-buf-hou-2026-09-13
broncos,chiefs,Denver vs Kansas City,Broncos vs. Chiefs,0.44,0.435,0.57,0.565,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep14denkc,https://polymarket.com/event/nfl-den-kc-2026-09-15
broncos,jaguars,JAC Jaguars vs DEN Broncos,Jaguars vs. Broncos,0.59,0.58,0.43,0.42,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20jacden,https://polymarket.com/event/nfl-jax-den-2026-09-20
browns,buccaneers,CLE Browns vs TB Buccaneers,Browns vs. Buccaneers,0.28,0.27,0.73,0.73,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep20cletb,https://polymarket.com/event/nfl-cle-tb-2026-09-20
browns,jaguars,Cleveland vs Jacksonville,Browns vs. Jaguars,0.22,0.215,0.79,0.785,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13clejac,https://polymarket.com/event/nfl-cle-jax-2026-09-13
cardinals,chargers,Arizona vs Los Angeles C,Cardinals vs. Chargers,0.19,0.195,0.81,0.805,https://kalshi.com/markets/kxnflgame/kxnflgame-26sep13arilac,https://polymarket.com/event/nfl-ari-lac-2026-09-13
